"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","1","Package name contains upper case characters","Naming","PackageCase"
"2","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","4","10","Avoid short class names like App","Naming","ShortClassName"
"3","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","4","12","Consider using varargs for methods or constructors which take an array the last parameter.","Design","UseVarargs"
"4","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","12","Parameter 'args' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"5","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","12","publicMethodCommentRequirement Required","Comments","CommentRequired"
"6","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","2","14","System.out.println is used","Java Logging","SystemPrintln"
"7","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","1","18","Method names should not start with capital letters","Naming","MethodNamingConventions"
"8","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","18","publicMethodCommentRequirement Required","Comments","CommentRequired"
"9","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","2","20","System.out.println is used","Java Logging","SystemPrintln"
"10","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","21","Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block","Strict Exceptions","AvoidCatchingGenericException"
"11","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","2","22","System.out.println is used","Java Logging","SystemPrintln"
"12","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","24","Avoid returning from a finally block","Basic","ReturnFromFinallyBlock"
"13","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","1","28","Method names should not start with capital letters","Naming","MethodNamingConventions"
"14","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","28","publicMethodCommentRequirement Required","Comments","CommentRequired"
"15","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","29","Avoid variables with short names like a","Naming","ShortVariable"
"16","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","29","Local variable 'a' could be declared final","Optimization","LocalVariableCouldBeFinal"
"17","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","29","Local variable 'baz' could be declared final","Optimization","LocalVariableCouldBeFinal"
"18","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","4","29","Use one line for each declaration, it enhances code readability.","Controversial","OneDeclarationPerLine"
"19","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","30","Avoid empty if statements","Empty Code","EmptyIfStmt"
"20","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","30","Avoid empty if statements","Empty Code","EmptyIfStmt"
"21","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","30","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"22","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","30","The null check here is misplaced; if the variable is null there will be a NullPointerException","Basic","MisplacedNullCheck"
"23","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","33","A method/constructor shouldnt explicitly throw java.lang.Exception","Strict Exceptions","SignatureDeclareThrowsException"
"24","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","1","33","Method names should not start with capital letters","Naming","MethodNamingConventions"
"25","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","33","publicMethodCommentRequirement Required","Comments","CommentRequired"
"26","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","35","Avoid variables with short names like a","Naming","ShortVariable"
"27","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","35","Avoid variables with short names like b","Naming","ShortVariable"
"28","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","35","Local variable 'a' could be declared final","Optimization","LocalVariableCouldBeFinal"
"29","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","35","Local variable 'b' could be declared final","Optimization","LocalVariableCouldBeFinal"
"30","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","4","35","Use one line for each declaration, it enhances code readability.","Controversial","OneDeclarationPerLine"
"31","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","36","Avoid empty if statements","Empty Code","EmptyIfStmt"
"32","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","36","Avoid empty if statements","Empty Code","EmptyIfStmt"
"33","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","36","Use equals() to compare object references.","Design","CompareObjectsWithEquals"
"34","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","37","Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block","Strict Exceptions","AvoidCatchingGenericException"
"35","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","2","38","System.out.println is used","Java Logging","SystemPrintln"
"36","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","1","43","Method names should not start with capital letters","Naming","MethodNamingConventions"
"37","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","43","publicMethodCommentRequirement Required","Comments","CommentRequired"
"38","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","44","Avoid variables with short names like c","Naming","ShortVariable"
"39","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","44","Local variable 'c' could be declared final","Optimization","LocalVariableCouldBeFinal"
"40","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","2","45","Avoid instantiating Integer objects. Call Integer.valueOf() instead.","Migration","IntegerInstantiation"
"41","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","45","Local variable 'obj' could be declared final","Optimization","LocalVariableCouldBeFinal"
"42","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","49","Avoid variables with short names like a","Naming","ShortVariable"
"43","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","5","49","Found 'DU'-anomaly for variable 'a' (lines '49'-'53').","Controversial","DataflowAnomalyAnalysis"
"44","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","49","Local variable 'a' could be declared final","Optimization","LocalVariableCouldBeFinal"
"45","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","49","This usage of the Collection.toArray() method will throw a ClassCastException.","Basic","ClassCastExceptionWithToArray"
"46","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","52","Avoid variables with short names like b","Naming","ShortVariable"
"47","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","5","52","Found 'DU'-anomaly for variable 'b' (lines '52'-'53').","Controversial","DataflowAnomalyAnalysis"
"48","wdf.sap.corp.DemoProject","src/main/java/wdf/sap/corp/DemoProject/App.java","3","52","Local variable 'b' could be declared final","Optimization","LocalVariableCouldBeFinal"
